        x             y             z
    -0.19776519   -1.99836629   -0.12707867
     2.25229929    3.70538475    3.63715727
    -3.21710019   -3.85584304   -1.09361558
     0.75343736    2.62549038   -2.47855610
    -3.83228971    0.14179791   -3.14571644
    -3.77151028    3.35213690    0.64108735
     3.70875820    3.47985739   -0.88200774
    -3.00229999   -1.10796144    3.57050029
    -2.07447548   -1.55868612    1.23499605
     1.98139866    3.05276846   -2.31210746
     1.25438283   -0.28251142    1.38323757
     3.80484688    1.90857735   -0.87418724
     2.94784133   -3.18481325   -1.68231515
    -0.61982372   -2.63144179    0.72799404
    -0.89406614    0.59894950    2.99400974
    -1.29839621   -2.76986866    2.67866587
    -0.16385907    0.55244850   -1.09914884
     2.65467741    2.79852147    3.81856761
    -2.07523282   -1.85335263   -0.72402278
    -3.24573195   -3.15990840   -3.86646262
     3.04210005    3.84465855    0.44388772
    -0.22406608   -3.74760887   -2.96191197
    -1.12186501   -0.32250132   -1.30334432
     3.95737054   -3.66294029    2.69849557
    -2.27534328    0.72628387    3.41996662
    -0.04407901    2.48210307    2.71080692
    -3.12448112   -0.14322621    3.05531502
    -0.32628824    1.39709952    3.27647470
    -2.76915823   -2.86647900    2.89449395
     3.81439979   -0.01176290    3.24860416
    -2.22639122   -1.48588808    3.68361827
     1.88838453   -2.68809647    2.24697692
     1.19029417   -0.52516596   -2.10941937
    -3.48384320    0.55259519    3.74243273
    -3.56868912    3.76726459   -0.30832346
    -2.58747878    2.15352926   -3.89930286
    -1.88561296    3.98617199    3.23144180
    -1.99556931    1.15690436   -1.31195955
     1.06463946   -2.43747966    2.57251204
     2.24985431   -3.29107383   -2.56651718
    -2.73441209    2.84261687   -0.06770822
    -1.77555948    0.25536449   -3.16628808
     2.09086603    1.68212477   -3.69824870
     2.24174063    1.88987745   -2.52188918
     2.51391437    0.24773521    1.37776037
    -0.01795899   -2.98871945    3.08849058
     1.12328228    1.16399161   -0.52871837
     3.60980770    1.63035437    2.65505148
     1.62235109    2.93570802   -1.18501453
    -2.00264691    2.93452068   -3.73304224
     3.58102889   -0.06342941    0.75246081
    -0.73750970   -0.23689090    2.63650450
     0.66715050   -1.25474863    2.24543475
     3.69457191   -0.08852228   -3.81515827
    -1.31459039    3.79886122   -1.05078789
     2.85772223    2.70497097   -0.29080333
    -3.04731490   -1.28465815   -2.75388022
    -0.34975099   -1.15661459   -2.45530606
     0.85386100   -3.33760371   -1.35718256
    -0.98615580    2.43828215    0.10902113
     2.47410669    2.74355486   -1.68717379
     0.72185632    1.09712258    3.24340213
    -0.15143482   -2.13735110   -3.27250503
    -0.87334186    3.35411511   -0.21750144
    -3.55514729   -2.50639924   -0.17157753
    -2.44329587    2.11150316   -1.30710450
     2.63849658    1.09299729   -0.34608353
    -2.49080343   -1.00196417   -0.45127400
    -2.64773760   -2.48229954   -3.71485966
    -0.46209594   -3.39350687    2.19438247
     2.60606029    1.89674589    3.61790983
     0.11740870    3.67787315    3.90052607
    -0.11844912   -3.66088686   -0.84225069
     0.72564199    1.37797731   -2.91869501
    -2.10885452    1.53974167    3.55376086
     1.82483022    3.00342795    2.73210166
     2.10463859   -2.25821445    0.10283623
     1.38777335   -2.18072415    0.87620768
    -3.03196660    0.04215610   -3.07655517
     3.67575581   -2.88411480   -3.61110413
     3.38101491   -3.64003557   -3.45950455
     3.04553050   -1.46691144    2.17148227
    -1.34390676   -1.23507495   -3.68431683
     3.25714591    0.74602795    0.05112309
    -1.54693978   -2.87155798    1.70991816
    -0.61397711    0.60501498    1.42034215
    -3.67706850    1.84625306    0.77772279
    -1.96509202    0.35480826    1.57369222
    -1.29677236    3.09239897   -1.67659246
    -1.08498101   -1.98190214    1.54176880
     0.58214640   -1.17257550   -0.26637873
    -1.96302425   -3.56470942    1.78902035
    -2.74385695   -2.97977585   -1.71157956
    -1.05864667   -0.06916100    0.77275999
     1.49692121    2.60825171    1.91905528
     3.28283962   -0.91187536   -3.16943809
     2.37246293   -1.46900875   -2.03939053
     3.11497381    1.22674953   -1.14445008
     3.84878273   -2.57520887    1.22157873
    -2.73922284   -3.49054619   -2.63871845
     2.48140309   -1.67639196    0.88555167
    -3.55731451    2.21028139    2.90233858
     1.18758226    3.11565982   -3.25415117
     0.89055317   -1.16508234    0.49732630
    -1.45509304   -2.61944202   -1.34547778
     2.34493484    1.63185795    1.27027919
     1.15659872    1.92786547    3.23307607
     3.36666284   -2.55678752   -2.51051313
    -2.82532464    0.57504261   -0.28123631
    -3.70428278    3.93568253   -3.75594216
    -2.49033568   -2.43598591    1.05359211
     1.79515023   -0.02853320   -0.08144544
    -0.87102883    2.85702886   -3.99003831
    -0.11043184    0.05762327    0.56132317
     0.75058471   -0.06055541   -1.18037467
    -1.91835997   -2.70870855    0.51944801
    -3.05076159    3.19976463   -2.47253547
     1.51972245    2.88116632   -0.27325279
    -3.51443560    3.26253809   -1.42447270
     0.02708330    0.10331641    3.89643703
     1.05348360    3.76972081    0.25986713
     3.73071203   -1.13690380    3.04491658
    -0.17744755    2.23506272    0.71070581
    -3.23100833   -1.33086866   -0.26284667
     2.37763979    0.78069797   -2.62269272
    -0.99404900    2.13654234    1.55110472
     1.85996587   -3.51103675    1.54587295
    -0.42810249    2.17177383   -2.23592336
    -1.46730930    1.51503087    1.02653543
    -0.64645408    1.37346637    0.78486814
    -3.21262567   -3.95046183   -1.98869504
    -3.22850947   -1.58483160    1.17912022
     3.56295693    2.42385327   -1.61364382
     2.52051839   -0.21756528    2.74243526
     0.90806671   -2.72305892   -3.51536485
     0.67063026    3.26073280   -1.64201192
     2.25875411   -0.69195163    0.65499748
     0.67400747   -2.86595420    0.01880691
    -0.47945823   -2.46813131    3.56965096
    -2.38765999    0.13501413   -0.97537825
    -0.08202345    1.72074051   -0.17752345
     2.08347588   -1.15537221    1.88848297
     1.62688163   -3.80724233   -0.20462489
     3.33556902   -2.45334962    2.32379363
    -0.09457378   -1.36298929    1.44782602
     0.80537892   -1.75342945    2.94312386
    -3.35929939    1.35802756    1.89884729
    -2.76331297    2.97920811    1.73237923
    -2.82142912   -0.29915266    0.53953889
     2.00654057    0.46411052   -1.19150990
    -2.73670870    2.07531285   -0.34286762
    -1.20799440    3.33071495   -3.05938314
     3.92642073   -0.96798923    0.67494758
     3.64391488    3.41628670    2.86791341
    -2.03215827    2.59301730    1.62621680
     0.43313368    1.60679447    2.46433468
     1.25639111   -3.35118991    0.73489243
     3.23535602   -1.56243423   -2.25126223
     0.35088241   -3.83100791    2.53118879
     2.29764494   -0.52328567   -1.60524631
     0.19478419   -2.66844703   -2.39480724
    -1.86346564   -3.21009779   -0.88518246
    -0.84358566   -0.85040248    0.26815430
     0.98199083    1.15528152    0.27197190
     2.71513203   -0.40327598   -3.52033919
     0.22120116    0.75050711   -0.42246175
     2.62972827    1.58730971    0.38186536
     3.82222237    0.77131067   -1.57055391
    -3.63368964   -0.62826389    3.97006628
    -1.38238477    1.44658706   -2.69116272
     3.51209828   -0.51620951    2.44868761
     1.88267455    0.42070946    0.75432684
    -2.27020421    3.79856084    0.67750646
     1.73066485   -0.63720598   -2.87691809
     1.25456900   -2.81718930   -0.58096574
     2.93890355   -0.61031308    1.11883558
    -0.83980347   -1.46868329    2.11016039
     3.78187031   -3.66357584    0.75658755
     1.82408296   -3.48431969   -1.45690577
    -3.55350596    0.46989671    2.72746045
     3.99640782   -3.24954069   -0.78766786
    -3.86400723    1.13050111   -3.73867399
    -1.24571564    1.78832936    2.40588392
    -0.77294310    3.73962650    1.94002716
     2.38179647   -2.92142369   -0.94190622
    -2.82398955    1.82507443   -2.86816629
    -1.60196044    2.47791842    3.28531325
    -2.05651050    3.00110189   -2.81245378
     2.66457097    3.49252327    2.95884379
     3.92897486   -0.20548082    0.02357851
     3.06613033   -2.18844011    0.64721657
     1.93317421    2.86525304   -3.51547562
     3.02014374    2.21435035    1.90860577
